Year/Course,Term,Unit,Block,Small Step,DF Topic Refs,DF Topic Names (review)
Year 7,Summer,Lines and Angles,Geometric Reasoning,Understand and use parallel line angle rules,262,"Alternate, corresponding and co-interior angles"
Year 7,Summer,Lines and Angles,Geometric Reasoning,Use known facts to obtain simple proofs,,
Year 7,Summer,Reasoning with Number,Developing Number Sense,Know and use mental addition and subtraction strategies for integers,39,Mental addition and subtraction strategies
Year 7,Summer,Reasoning with Number,Developing Number Sense,Know and use mental multiplication and division strategies for integers,,
Year 7,Summer,Reasoning with Number,Developing Number Sense,Know and use mental arithmetic strategies for decimals,,
Year 7,Summer,Reasoning with Number,Developing Number Sense,Know and use mental arithmetic strategies for fractions,,
Year 7,Summer,Reasoning with Number,Developing Number Sense,Use factors to simplify calculations,,
Year 7,Summer,Reasoning with Number,Developing Number Sense,Use estimation as a method for checking mental calculations,188,Estimating by rounding
Year 7,Summer,Reasoning with Number,Developing Number Sense,Use known number facts to derive other facts,48,Related number facts with place value
Year 7,Summer,Reasoning with Number,Developing Number Sense,Use known algebraic facts to derive other facts,,
Year 7,Summer,Reasoning with Number,Developing Number Sense,"Know when to use a mental strategy, formal written method or a calculator",,
Year 7,Summer,Reasoning with Number,Sets and Probability,Identify and represent sets,242,Construct Venn diagrams
Year 7,Summer,Reasoning with Number,Sets and Probability,Interpret and create Venn diagrams,242,Construct Venn diagrams
Year 7,Summer,Reasoning with Number,Sets and Probability,Understand and use the intersection of sets,243,"Union, intersection and complements of sets, including the universal and empty sets"
Year 7,Summer,Reasoning with Number,Sets and Probability,Understand and use the union of sets,243,"Union, intersection and complements of sets, including the universal and empty sets"
Year 7,Summer,Reasoning with Number,Sets and Probability,Understand and use the complement of a set,243,"Union, intersection and complements of sets, including the universal and empty sets"
Year 7,Summer,Reasoning with Number,Sets and Probability,Know and use the vocabulary of probability,247,Probabilities using worded terms or placed on a number line between 0 and 1
Year 7,Summer,Reasoning with Number,Sets and Probability,Generate sample spaces for single events,249,Sample space diagrams
Year 7,Summer,Reasoning with Number,Sets and Probability,Calculate the probability of a single event,248,Theoretical probabilities using counts
Year 7,Summer,Reasoning with Number,Sets and Probability,Understand and use the probability scale,247,Probabilities using worded terms or placed on a number line between 0 and 1
Year 7,Summer,Reasoning with Number,Sets and Probability,Know that the sum of probabilities of all possible outcomes is 1,247;250,Probabilities using worded terms or placed on a number line between 0 and 1 | Probabilities of mutually exclusive events
Year 7,Summer,Reasoning with Number,Prime Numbers and Proof,Find and use multiples,52,Multiples of a number
Year 7,Summer,Reasoning with Number,Prime Numbers and Proof,Identify factors of numbers and expressions,53;163,Factors of a number | Divisibility laws from 3 to 11 and dealing with larger divisors
Year 7,Summer,Reasoning with Number,Prime Numbers and Proof,Recognise and identify prime numbers,97,Prime numbers
Year 7,Summer,Reasoning with Number,Prime Numbers and Proof,Recognise square and triangular numbers,88,"Power notation and calculate simple powers, e.g. squares, cubes"
Year 7,Summer,Reasoning with Number,Prime Numbers and Proof,Find common factors of a set of numbers including the HCF,96;95,Highest Common Factor and Lowest Common Multiple by listing | Common factors by listing
Year 7,Summer,Reasoning with Number,Prime Numbers and Proof,Find common multiples of a set of numbers including the LCM,96;94,Highest Common Factor and Lowest Common Multiple by listing | Common multiples by listing
Year 7,Summer,Reasoning with Number,Prime Numbers and Proof,Write a number as a product of its prime factors,161;164,"Prime factorisation of a number | Properties of a number based on its prime factorisation (e.g. identify factors, if it is square, trailing zeroes)"
Year 7,Summer,Reasoning with Number,Prime Numbers and Proof,Use a Venn diagram to calculate the HCF and LCM,162,Lowest Common Multiple or Highest Common Factor by prime factorisation
Year 7,Summer,Reasoning with Number,Prime Numbers and Proof,Make and test conjectures,,
Year 7,Summer,Reasoning with Number,Prime Numbers and Proof,Use counterexamples to disprove a conjecture,,
Year 8,Autumn,Proportional Reasoning,Ratio and Scale,Understand the meaning and representation of ratio,224,Simplifying ratios and forming ratios from a given context
Year 8,Autumn,Proportional Reasoning,Ratio and Scale,Understand and use ratio notation,128,Multiplicative scaling with integer scale factors and ratio notation
Year 8,Autumn,Proportional Reasoning,Ratio and Scale,Solve problems involving ratios of the form 1:n (or n:1),225,"Finding a quantity within a ratio where either the total amount, a particular amount or a difference in an amount is given"
Year 8,Autumn,Proportional Reasoning,Ratio and Scale,Solve proportional problems involving the ratio m:n,225,"Finding a quantity within a ratio where either the total amount, a particular amount or a difference in an amount is given"
Year 8,Autumn,Proportional Reasoning,Ratio and Scale,Divide a value into a given ratio,225,"Finding a quantity within a ratio where either the total amount, a particular amount or a difference in an amount is given"
Year 8,Autumn,Proportional Reasoning,Ratio and Scale,Express ratios in their simplest integer form,224,Simplifying ratios and forming ratios from a given context
Year 8,Autumn,Proportional Reasoning,Ratio and Scale,Express ratios in the form 1:n,224,Simplifying ratios and forming ratios from a given context
Year 8,Autumn,Proportional Reasoning,Ratio and Scale,Compare ratios and related fractions,226,"Relationship between fractions, percentages and ratio"
Year 8,Autumn,Proportional Reasoning,Ratio and Scale,Understand pi as the ratio between diameter and circumference,209,Circumference of a full circle
Year 8,Autumn,Proportional Reasoning,Ratio and Scale,Understand gradient of a line as a ratio,270,Gradient of a line
Year 8,Autumn,Proportional Reasoning,Multiplicative Change,Solve problems involving direct proportion,176,Multiplicative scaling and numerical proportion relationships
Year 8,Autumn,Proportional Reasoning,Multiplicative Change,Explore conversion graphs,178,Conversion graphs
Year 8,Autumn,Proportional Reasoning,Multiplicative Change,Convert between currencies,177,Exchange rates
Year 8,Autumn,Proportional Reasoning,Multiplicative Change,Explore direct proportion graphs,178,Conversion graphs
Year 8,Autumn,Proportional Reasoning,Multiplicative Change,Explore relationships between similar shapes,291,Properties of similar shapes
Year 8,Autumn,Proportional Reasoning,Multiplicative Change,Understand scale factors as multiplicative representations,128,Multiplicative scaling with integer scale factors and ratio notation
Year 8,Autumn,Proportional Reasoning,Multiplicative Change,Draw and interpret scale diagrams,283,Scale drawings including map scales
Year 8,Autumn,Proportional Reasoning,Multiplicative Change,Interpret maps using scale factors and ratios,283,Scale drawings including map scales
Year 8,Autumn,Proportional Reasoning,Multiplying and Dividing Fractions,Represent multiplication of fractions,120,Multiplying proper fractions with no simplifying
Year 8,Autumn,Proportional Reasoning,Multiplying and Dividing Fractions,Multiply a fraction by an integer,119,Multiplying fractions and mixed numbers by an integer
Year 8,Autumn,Proportional Reasoning,Multiplying and Dividing Fractions,Find the product of a pair of unit fractions,120,Multiplying proper fractions with no simplifying
Year 8,Autumn,Proportional Reasoning,Multiplying and Dividing Fractions,Find the product of a pair of any fractions,165,Further multiplying proper fractions (including simplification)
Year 8,Autumn,Proportional Reasoning,Multiplying and Dividing Fractions,Divide an integer by a fraction,166,Dividing proper and improper fractions
Year 8,Autumn,Proportional Reasoning,Multiplying and Dividing Fractions,Divide a fraction by a unit fraction,166;121,Dividing proper and improper fractions | Dividing fractions by integers
Year 8,Autumn,Proportional Reasoning,Multiplying and Dividing Fractions,Understand and use the reciprocal,159,Reciprocals
Year 8,Autumn,Proportional Reasoning,Multiplying and Dividing Fractions,Divide any pair of fractions,166,Dividing proper and improper fractions
Year 8,Autumn,Proportional Reasoning,Multiplying and Dividing Fractions,Multiply and divide improper and mixed fractions,167;168,Multiplying fractions involving a mixed number | Dividing fractions involving a mixed number
Year 8,Autumn,Proportional Reasoning,Multiplying and Dividing Fractions,Multiply and divide algebraic fractions,,
Year 8,Autumn,Representations,Working in the Cartesian Plane,Work with coordinates in all four quadrants,152;83,Coordinates in all four quadrants | Coordinates in the first quadrant
Year 8,Autumn,Representations,Working in the Cartesian Plane,Identify and draw lines that are parallel to the axes,273,Drawing a line from its equation
Year 8,Autumn,Representations,Working in the Cartesian Plane,Recognise and use the line y = x,271,Understanding the equation of a straight line in slope-intercept form (y=mx+c) or standard form (ax + by = c)
Year 8,Autumn,Representations,Working in the Cartesian Plane,Recognise and use lines of the form y = kx,271,Understanding the equation of a straight line in slope-intercept form (y=mx+c) or standard form (ax + by = c)
Year 8,Autumn,Representations,Working in the Cartesian Plane,Link y = kx to direct proportion problems,,
Year 8,Autumn,Representations,Working in the Cartesian Plane,Explore the gradient of the line y = kx,270,Gradient of a line
Year 8,Autumn,Representations,Working in the Cartesian Plane,Recognise and use lines of the form y = x + a,271,Understanding the equation of a straight line in slope-intercept form (y=mx+c) or standard form (ax + by = c)
Year 8,Autumn,Representations,Working in the Cartesian Plane,"Explore graphs with negative gradient (y=-kx, y=a-x, x+y=a)",270,Gradient of a line
Year 8,Autumn,Representations,Working in the Cartesian Plane,Link graphs to linear sequences,,
Year 8,Autumn,Representations,Working in the Cartesian Plane,Plot graphs of the form y = mx + c,273,Drawing a line from its equation
Year 8,Autumn,Representations,Working in the Cartesian Plane,Explore non-linear graphs,,
Year 8,Autumn,Representations,Working in the Cartesian Plane,Find the midpoint of a line segment,265;266,Midpoint of two points | Splitting a line segment in a ratio
Year 8,Autumn,Representations,Representing Data,Draw and interpret scatter graphs,244,Scatter graphs/scatterplots and correlation
Year 8,Autumn,Representations,Representing Data,Understand and describe linear correlation,244,Scatter graphs/scatterplots and correlation
Year 8,Autumn,Representations,Representing Data,Draw and use line of best fit,245,Line of best fit
Year 8,Autumn,Representations,Representing Data,Identify non-linear relationships,,
Year 8,Autumn,Representations,Representing Data,Identify different types of data,344,Types of data
Year 8,Autumn,Representations,Representing Data,Read and interpret ungrouped frequency tables,235,Reading and interpreting ungrouped frequency tables
Year 8,Autumn,Representations,Representing Data,Read and interpret grouped frequency tables,,
Year 8,Autumn,Representations,Representing Data,Represent grouped discrete data,,
Year 8,Autumn,Representations,Representing Data,Represent continuous data grouped into equal classes,,
