Year/Course,Term,Unit,Block,Small Step,DF Topic Refs,DF Topic Names (review)
"Year 10, GCSE Foundation, GCSE Higher",Summer,Delving into Data,Delving into Data,Construct and interpret scatter graphs,244,Scatter graphs/scatterplots and correlation
"Year 10, GCSE Foundation, GCSE Higher",Summer,Delving into Data,Delving into Data,Draw and use a line of best fit,245,Line of best fit
"Year 10, GCSE Higher",Summer,Delving into Data,Delving into Data,Understand extrapolation,,
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Non-calculator Methods,Mental/written methods of integer/decimal addition and subtraction,39;40;41;74,Mental addition and subtraction strategies | Column addition | Column subtraction | Adding and subtracting decimal numbers
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Non-calculator Methods,Mental/written methods of integer/decimal multiplication and division,66;89;122;124,Short column multiplication | Completing short divisions with no remainders | Multiplying a decimal (up to 2dp) by an integer | Dividing a decimal (up to 2dp) by an integer
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Non-calculator Methods,The four rules of fraction arithmetic,117;120;166,Adding and subtracting fractions with any denominator | Multiplying proper fractions with no simplifying | Dividing proper and improper fractions
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Non-calculator Methods,Exact answers,,
"Year 10, GCSE Higher",Summer,Using Number,Non-calculator Methods,Rational and irrational numbers (convert recurring decimals here),173;277,Converting from a fraction to a recurring decimal or a percentage | Converting from a recurring decimal to a fraction
"Year 10, GCSE Higher",Summer,Using Number,Non-calculator Methods,Understand and use surds,334,Simplifying surds
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Non-calculator Methods,Calculate with surds,335;336;337;392;393,Multiplying and dividing surds | Adding and subtracting surds | Expanding brackets with surds | Rationalising the denominator where the denominator consists of a single surd term | Rationalising the denominator where the denominator consists of a surd and a second term
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Non-calculator Methods,Rounding to decimal places and significant figures,75;187,Rounding a number to a given number of decimal places | Rounding a number to a given number of significant figures
"Year 10, GCSE Higher",Summer,Using Number,Non-calculator Methods,Estimating answers to calculations,188,Estimating by rounding
"Year 10, GCSE Higher",Summer,Using Number,Non-calculator Methods,Understand and use limits of accuracy,310;385,Upper and lower bound of rounded values or identifying an error interval | Tolerance
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Non-calculator Methods,Upper and lower bounds,310;384,Upper and lower bound of rounded values or identifying an error interval | Using lower and upper bounds within calculations to calculate a further lower/upper bound
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Non-calculator Methods,Use number sense,,
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Non-calculator Methods,Solve financial maths problems,360,Financial maths (excluding compound interest)
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Non-calculator Methods,Break down and solve multi-step problems,,
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Types of Number and Sequences,Understand the difference between factors and multiples,52;53,Multiples of a number | Factors of a number
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Types of Number and Sequences,Understand primes and express a number as a product of its prime factors,97;161,Prime numbers | Prime factorisation of a number
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Types of Number and Sequences,Find the HCF and LCM of a set of numbers,96;162,Highest Common Factor and Lowest Common Multiple by listing | Lowest Common Multiple or Highest Common Factor by prime factorisation
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Types of Number and Sequences,Describe and continue arithmetic and geometric sequences,203;370,"Describing, generating and continuing sequences using term-to-term rules | nth term formula for a geometric sequence (no standard formulae)"
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Types of Number and Sequences,Explore other sequences,371,nth term formula more complicated sequences
"Year 10, GCSE Higher",Summer,Using Number,Types of Number and Sequences,Describe and continue sequences involving surds,334;336,Simplifying surds | Adding and subtracting surds
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Types of Number and Sequences,Find the rule for the nth term of a linear sequence,205;206,nth term formula for arithmetic sequences (no standard formulae) | Determining if a term belongs in an arithmetic sequence
"Year 10, GCSE Higher",Summer,Using Number,Types of Number and Sequences,Find the rule for the nth term of a quadratic sequence,369,nth term formula for a quadratic sequence
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Indices and Roots,Square and Cube numbers,88,"Power notation and calculate simple powers, e.g. squares, cubes"
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Indices and Roots,Calculate higher powers and roots,157,Roots and further powers
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Indices and Roots,Powers of ten and standard form,301;302,Conversion of large numbers to and from standard form/scientific notation | Conversion of small numbers to and from standard form/scientific notation
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Indices and Roots,The addition and subtraction rules for indices,194,Algebraic index laws (basic)
"Year 10, GCSE Higher",Summer,Using Number,Indices and Roots,Understand and use the power zero and negative indices,298,Negative indices
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Indices and Roots,Work with powers of powers,194,Algebraic index laws (basic)
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Indices and Roots,Understand and use fractional indices,394;395,Fractional indices | Solving equations involving negative and fractional indices and surds
"Year 10, GCSE Foundation, GCSE Higher",Summer,Using Number,Indices and Roots,Calculate with numbers in standard form,303;304,Adding or subtracting numbers in standard form/scientific notation | Multiplying and dividing numbers in standard form/scientific notation
"Year 10, GCSE Foundation, GCSE Higher",Summer,Expressions,Manipulating Expressions,Simplify algebraic expressions,193;194;387,Collecting like terms | Algebraic index laws (basic) | Simplifying single algebraic fractions by cancelling common factors
"Year 10, GCSE Higher",Summer,Expressions,Manipulating Expressions,Use identities,455,Equating coefficients in an identity f(x) ≡ g(x)
"Year 10, GCSE Higher",Summer,Expressions,Manipulating Expressions,Add and subtract simple algebraic fractions,389,Adding and subtracting algebraic fractions (no factorisation of denominators required)
"Year 10, GCSE Higher",Summer,Expressions,Manipulating Expressions,Add and subtract complex algebraic fractions,390,"Adding and subtracting algebraic fractions, requiring prior factorisation of the denominators"
"Year 10, GCSE Higher",Summer,Expressions,Manipulating Expressions,Multiply and divide simple algebraic fractions,388,Multiplying and dividing algebraic fractions
"Year 10, GCSE Higher",Summer,Expressions,Manipulating Expressions,Multiply and divide complex algebraic fractions,388,Multiplying and dividing algebraic fractions
"Year 10, GCSE Higher",Summer,Expressions,Manipulating Expressions,Form and solve equations and inequalities with fractions,462,Solving equations involving fractions that lead to a quadratic equation
"Year 10, GCSE Higher",Summer,Expressions,Manipulating Expressions,Solve equations with algebraic fractions,462,Solving equations involving fractions that lead to a quadratic equation
"Year 10, GCSE Foundation, GCSE Higher",Summer,Expressions,Manipulating Expressions,Represent numbers algebraically,,
"Year 10, GCSE Higher",Summer,Expressions,Manipulating Expressions,Algebraic arguments and proof,454,Algebraic proofs involving integers
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Gradients and Lines,Equations of lines parallel to the axis,63;271,"Identifying vertical, horizontal, parallel and perpendicular lines | Understanding the equation of a straight line in slope-intercept form (y=mx+c) or standard form (ax + by = c)"
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Gradients and Lines,Plot straight line graphs,267;273,Plotting a straight line from a table of values | Drawing a line from its equation
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Gradients and Lines,Interpret y = mx + c,271,Understanding the equation of a straight line in slope-intercept form (y=mx+c) or standard form (ax + by = c)
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Gradients and Lines,Find the equation of a straight line from a graph (1),272,Determining the equation of a straight line in slope-intercept or standard form
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Gradients and Lines,Find the equation of a straight line from a graph (2),272,Determining the equation of a straight line in slope-intercept or standard form
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Gradients and Lines,Equation of a straight-line graph given one point and gradient,272,Determining the equation of a straight line in slope-intercept or standard form
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Gradients and Lines,Equation of a straight-line graph given two points,272,Determining the equation of a straight line in slope-intercept or standard form
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Gradients and Lines,Determine whether a point is on a line,271,Understanding the equation of a straight line in slope-intercept form (y=mx+c) or standard form (ax + by = c)
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Gradients and Lines,Solve linear simultaneous equations graphically,275,Solving linear simultaneous equations/systems of equations using graphical methods
"Year 11, GCSE Higher",Autumn,Graphs,Gradients and Lines,Recognise when straight lines are perpendicular,445,Equations of perpendicular lines
"Year 11, GCSE Higher",Autumn,Graphs,Gradients and Lines,Find the equations of perpendicular lines,445,Equations of perpendicular lines
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Non-linear Graphs,Plot and read from quadratic graphs,366;368,Plotting quadratic graphs from a table of values | Quadratic graphs and their features
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Non-linear Graphs,Plot and read from cubic graphs,420,Plotting simple cubic graphs
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Non-linear Graphs,Plot and read from reciprocal graphs,422,Plotting reciprocal graphs
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Non-linear Graphs,Recognise graph shapes,426;427;452,"Recognising the shape of basic forms of cubic, reciprocal and exponential graphs based on their equations | Recognising the shape of more complex forms of quadratic, cubic, reciprocal and exponential graphs based on their equations | Graphs of root functions"
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Non-linear Graphs,Identify and interpret roots and intercepts of quadratics,368,Quadratic graphs and their features
"Year 11, GCSE Higher",Autumn,Graphs,Non-linear Graphs,Understand and use exponential graphs,423;424;425,Plotting exponential graphs | Properties of exponential graphs | Determining the values of k and a in the exponential function y = ka^x
"Year 11, GCSE Higher",Autumn,Graphs,Non-linear Graphs,"Find and use the equation of a circle centre (0,0)",446,Graphs of circles centred at the origin
"Year 11, GCSE Higher",Autumn,Graphs,Non-linear Graphs,Find the equation of the tangent to any curve,447,Equation of a tangent to a circle centred at the origin
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Using Graphs,Reflect shapes in given lines,153;278,Reflecting a shape on axes using a given mirror line | Reflecting a shape in a line with given equation
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Using Graphs,Construct and interpret conversion graphs,178,Conversion graphs
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Using Graphs,Construct and interpret other real-life straight line graphs,267;273;332,Plotting a straight line from a table of values | Drawing a line from its equation | Real-life linear graphs
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Using Graphs,Interpret distance/time graphs,327,Constructing and reading distance-time graphs
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Using Graphs,Construct distance/time graphs,327,Constructing and reading distance-time graphs
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Using Graphs,Construct and interpret speed/time graphs,459,Understanding and drawing speed-time (or positive velocity-time) graphs
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Using Graphs,Construct and interpret piece-wise graphs,487,Piecewise functions
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Using Graphs,Recognise and interpret graphs that illustrate direct and inverse proportion,386,Algebraic direct and inverse proportion
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Graphs,Using Graphs,Find approximate solutions to equations using graphs,421,Using graphs to count solutions and find approximate solutions to equations
"Year 11, GCSE Higher",Autumn,Graphs,Using Graphs,Estimate the area under a curve,460,Estimating area under a curved graph
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Algebra,Expanding and Factorising,Expand and factorise with a single bracket,252;253,Expanding a single bracket | Factorising out a single term
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Algebra,Expanding and Factorising,Expand binomials,299,Expanding double brackets
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Algebra,Expanding and Factorising,Factorise quadratic expressions,362,Factorising quadratic expressions given in the form x^2 + bx + c
"Year 11, GCSE Higher",Autumn,Algebra,Expanding and Factorising,Factorise complex quadratic expressions,364;363,Factorising a quadratic where the coefficient of the x^2 term is not 1 | Factorising the difference of two squares
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Algebra,Expanding and Factorising,Solve equations equal to 0,367,Solving quadratic equations by factorisation
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Algebra,Expanding and Factorising,Solve quadratic equations by factorisation,367;418,Solving quadratic equations by factorisation | Forming quadratic or non-linear expressions or equations from a given context (excluding probability problems)
"Year 11, GCSE Higher",Autumn,Algebra,Expanding and Factorising,Solve complex quadratic expressions by factorisation,364;367;365,Factorising a quadratic where the coefficient of the x^2 term is not 1 | Solving quadratic equations by factorisation | Factorising more difficult expressions by combining factorisation techniques or substitution of a variable
"Year 11, GCSE Higher",Autumn,Algebra,Expanding and Factorising,Complete the square,413;414;416,Completing the square to put an expression in the form (x+a)^2 + b | Completing the square to put an expression in the form a(x+b)^2 + c | Minimum or maximum point of a quadratic graph by completing the square
"Year 11, GCSE Higher",Autumn,Algebra,Expanding and Factorising,Solve quadratic equations using the quadratic formula,415;417,Solving quadratic equations by using the quadratic formula | Quadratic formula to solve quadratic equations
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Algebra,Changing the Subject,Solve linear equations,199;254;257,"Solving linear equations where the variable appears on one side of the equation only | Solving linear equations where the variable appears on one side of the equation only, including brackets | Solving linear equations where the variable appears on both sides of the equation"
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Algebra,Changing the Subject,Solve inequalities,339;340,Solving linear inequalities in one variable | Solving linear inequalities with one variable on both sides
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Algebra,Changing the Subject,Form and solve equations and inequalities in the context of shape,259;342,Forming and solving linear equations from a given context (excluding angles) | Forming and solving linear inequalities from a given context
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Algebra,Changing the Subject,Change the subject of a simple formula,201,"Changing the subject where the variable appears once only, excluding brackets"
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Algebra,Changing the Subject,Change the subject of a known formula,201,"Changing the subject where the variable appears once only, excluding brackets"
"Year 11, GCSE Higher",Autumn,Algebra,Changing the Subject,Change the subject of a complex formula,260,"Changing the subject of a formula where the subject appears once only, including brackets, powers and roots"
"Year 11, GCSE Higher",Autumn,Algebra,Changing the Subject,Change the subject where the subject appears more than once,391,Changing the subject of a formula where the subject appears multiple times
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Algebra,Changing the Subject,Solve equations by iteration,440;439,General iterative processes | Trial and improvement to approximate a solution to an equation
"Year 11, GCSE Higher",Autumn,Algebra,Functions,Use function machines,133;195,"Function machines | Function machines involving decimals, negative numbers and algebraic inputs"
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Algebra,Functions,Substitute into expressions and formulae,196;197,"Further substitution with positive integers (including powers, roots and brackets) | Substitution with decimals, negative integers and fractions"
"Year 11, GCSE Higher",Autumn,Algebra,Functions,Use function notation,432;433;437;438,Function notation and calculating outputs or inputs or a function | Graph representation of functions | Domain and range of simple functions | Properties of functions
"Year 11, GCSE Higher",Autumn,Algebra,Functions,Work with composite functions,435,Composite functions (excluding exponentials and modulus)
"Year 11, GCSE Higher",Autumn,Algebra,Functions,Work with inverse functions,436,Inverse functions (excluding exponentials and modulus)
"Year 11, GCSE Foundation, GCSE Higher",Autumn,Algebra,Functions,Graphs of quadratic functions,366;368,Plotting quadratic graphs from a table of values | Quadratic graphs and their features
"Year 11, GCSE Higher",Autumn,Algebra,Functions,Solve quadratic inequalities,458,Solving quadratic inequalities
"Year 11, GCSE Higher",Autumn,Algebra,Functions,Understand and use trigonometric functions,431;434,"Plotting and recognising graphs of trigonometric functions | Solving simple trigonometric equations, e.g. sin(x) = k, using a graph"
"Year 11, GCSE Foundation, GCSE Higher",Spring,Reasoning,Multiplicative Reasoning,Use scale factors,128;283,Multiplicative scaling with integer scale factors and ratio notation | Scale drawings including map scales
"Year 11, GCSE Foundation, GCSE Higher",Spring,Reasoning,Multiplicative Reasoning,Understand direct proportion,176,Multiplicative scaling and numerical proportion relationships
"Year 11, GCSE Foundation, GCSE Higher",Spring,Reasoning,Multiplicative Reasoning,Construct complex direct proportion equations,386,Algebraic direct and inverse proportion
"Year 11, GCSE Foundation, GCSE Higher",Spring,Reasoning,Multiplicative Reasoning,Calculate with pressure and density,328;329,Density | Pressure
"Year 11, GCSE Higher",Spring,Reasoning,Multiplicative Reasoning,Understand inverse proportion,386,Algebraic direct and inverse proportion
"Year 11, GCSE Foundation, GCSE Higher",Spring,Reasoning,Multiplicative Reasoning,Construct inverse proportion equations,386,Algebraic direct and inverse proportion
"Year 11, GCSE Foundation, GCSE Higher",Spring,Reasoning,Multiplicative Reasoning,Ratio problems,224;225;227,"Simplifying ratios and forming ratios from a given context | Finding a quantity within a ratio where either the total amount, a particular amount or a difference in an amount is given | Combining ratios and proportions into a single ratio"
"Year 11, GCSE Higher",Spring,Reasoning,Geometric Reasoning,Angles at points,110,Sum of the angles on a straight line and angles around a point
"Year 11, GCSE Higher",Spring,Reasoning,Geometric Reasoning,Angles in parallel lines and shapes,262,"Alternate, corresponding and co-interior angles"
"Year 11, GCSE Foundation, GCSE Higher",Spring,Reasoning,Geometric Reasoning,Exterior and interior angles of polygons,261,Interior and exterior angles of regular and irregular polygons
"Year 11, GCSE Foundation, GCSE Higher",Spring,Reasoning,Geometric Reasoning,Proving geometric facts,453;454,Testing conjectures and identifying counterexamples | Algebraic proofs involving integers
"Year 11, GCSE Foundation, GCSE Higher",Spring,Reasoning,Geometric Reasoning,Solve problems involving vectors,373;474,"Adding, subtracting and scaling column vectors | Parallel vectors and straight line proofs using vectors"
"Year 11, GCSE Higher",Spring,Reasoning,Geometric Reasoning,The first four circle theorems,442;443,Circle theorems | Intersecting chord and intersecting secant theorems
"Year 11, GCSE Foundation, GCSE Higher",Spring,Reasoning,Geometric Reasoning,Angle between a radius and a chord,317;442,"Further terms in relation to circles, including chord and segment | Circle theorems"
"Year 11, GCSE Higher",Spring,Reasoning,Geometric Reasoning,Angle between a radius and a tangent,442,Circle theorems
"Year 11, GCSE Higher",Spring,Reasoning,Geometric Reasoning,Two tangents from a point,442,Circle theorems
"Year 11, GCSE Higher",Spring,Reasoning,Geometric Reasoning,Alternate segment theorem,442,Circle theorems
"Year 11, GCSE Higher",Spring,Reasoning,Geometric Reasoning,Pythagoras' theorem and trigonometrical ratios,288;321;322,Pythagoras' theorem in 2D (excluding surds) | Trigonometry to determine side lengths in a right-angled triangle | Trigonometry to determine angles in a right-angled triangle
"Year 11, GCSE Higher",Spring,Reasoning,Algebraic Reasoning,Simplify complex expressions,193;194,Collecting like terms | Algebraic index laws (basic)
"Year 11, GCSE Higher",Spring,Reasoning,Algebraic Reasoning,Find the rule for the nth term of a linear sequence,205,nth term formula for arithmetic sequences (no standard formulae)
"Year 11, GCSE Foundation, GCSE Higher",Spring,Reasoning,Algebraic Reasoning,Find the rule for the nth term of a quadratic sequence,369,nth term formula for a quadratic sequence
"Year 11, GCSE Foundation, GCSE Higher",Spring,Reasoning,Algebraic Reasoning,Use rules for sequences,203;204,"Describing, generating and continuing sequences using term-to-term rules | Generating terms of a sequence given a position-to-term rule"
"Year 11, GCSE Foundation, GCSE Higher",Spring,Reasoning,Algebraic Reasoning,Solve linear simultaneous equations,276,Solving linear simultaneous equations/systems of equations using elimination or substitution
"Year 11, GCSE Higher",Spring,Reasoning,Algebraic Reasoning,Solve simultaneous equations with one quadratic,419,Solving non-linear simultaneous equations/systems of equations by substitution
"Year 11, GCSE Higher",Spring,Reasoning,Algebraic Reasoning,Formal algebraic proof,454,Algebraic proofs involving integers
"Year 11, GCSE Higher",Spring,Reasoning,Algebraic Reasoning,Inequalities in two variables,456,"Inequalities in two variables, including their representation on a plane."
"Year 11, GCSE Higher",Spring,Revision and Communication,Transforming and Constructing,Perform and describe line symmetry and reflection,153;279,Reflecting a shape on axes using a given mirror line | Describing a reflection
"Year 11, GCSE Foundation, GCSE Higher",Spring,Revision and Communication,Transforming and Constructing,Perform and describe rotation/rotational symmetry,280;281;282,Rotational symmetry | Rotating a shape by a given angle around a given point | Describing a rotation
"Year 11, GCSE Foundation, GCSE Higher",Spring,Revision and Communication,Transforming and Constructing,Perform and describe translations of shapes,374;375,Translations of shapes by a vector | Describing translations using vector notation
"Year 11, GCSE Higher",Spring,Revision and Communication,Transforming and Constructing,Perform and describe enlargements of shapes,294;295;296;297,Describing an enlargement/dilation for a positive integer scale factor | Enlarging/dilating a shape by a given positive integer scale factor | Describing an enlargement/dilation for a positive fractional scale factor | Enlarging/dilating a shape by a positive fractional scale factor
"Year 11, GCSE Higher",Spring,Revision and Communication,Transforming and Constructing,Perform and describe negative enlargements of shapes,376;377,Enlargement/dilation of shapes by a negative scale factor | Describing enlargements/dilations for a negative scale factor
"Year 11, GCSE Foundation, GCSE Higher",Spring,Revision and Communication,Transforming and Constructing,Identify transformations of shapes,279;282;294;375,Describing a reflection | Describing a rotation | Describing an enlargement/dilation for a positive integer scale factor | Describing translations using vector notation
"Year 11, GCSE Foundation, GCSE Higher",Spring,Revision and Communication,Transforming and Constructing,Perform and describe a series of transformations of shapes,378,Combining transformations
"Year 11, GCSE Higher",Spring,Revision and Communication,Transforming and Constructing,Identify invariant points and lines,379,Invariant points
"Year 11, GCSE Foundation, GCSE Higher",Spring,Revision and Communication,Transforming and Constructing,Perform standard constructions using ruler and protractor or compasses,284;286,Constructions with lines and angles | Drawing and constructing triangles
"Year 11, GCSE Higher",Spring,Revision and Communication,Transforming and Constructing,Solve loci problems,285,Loci
"Year 11, GCSE Higher",Spring,Revision and Communication,Transforming and Constructing,Understand and use trigonometrical graphs,431,Plotting and recognising graphs of trigonometric functions
"Year 11, GCSE Higher",Spring,Revision and Communication,Transforming and Constructing,Sketch and identify translations of the graph of a given function,448,Graph transformations of y = f(x+a) and y = f(x) + a
"Year 11, GCSE Higher",Spring,Revision and Communication,Transforming and Constructing,Sketch and identify reflections of the graph of a given function,449;450;451,Graph transformations of y = f(-x) and y = -f(x) | Graph transformations of y = f(ax) and y = af(x) (dilations) | Combinations of graph transformations
"Year 11, GCSE Foundation, GCSE Higher",Spring,Revision and Communication,Listing and Describing,Work with organised lists,380,Listing all combinations
"Year 11, GCSE Foundation, GCSE Higher",Spring,Revision and Communication,Listing and Describing,Sample spaces and probability,249;248,Sample space diagrams | Theoretical probabilities using counts
"Year 11, GCSE Foundation, GCSE Higher",Spring,Revision and Communication,Listing and Describing,Use the product rule for counting,381,Product rule for counting (Fundamental Counting Principle)
"Year 11, GCSE Foundation, GCSE Higher",Spring,Revision and Communication,Listing and Describing,Complete and use Venn diagrams,242;243,"Construct Venn diagrams | Union, intersection and complements of sets, including the universal and empty sets"
"Year 11, GCSE Foundation, GCSE Higher",Spring,Revision and Communication,Listing and Describing,Construct and interpret plans and elevations,228,"Front elevation, side elevation and plan of a 3D shape"
"Year 11, GCSE Foundation, GCSE Higher",Spring,Revision and Communication,Listing and Describing,Use data to compare distributions,403,Comparing data sets using different representations
"Year 11, GCSE Foundation, GCSE Higher",Spring,Revision and Communication,Listing and Describing,Interpreting scatter diagrams,244;245,Scatter graphs/scatterplots and correlation | Line of best fit
"Year 11, GCSE Foundation, GCSE Higher",Spring,Revision and Communication,Show That,"""Show that"" with number",453;454,Testing conjectures and identifying counterexamples | Algebraic proofs involving integers
"Year 11, GCSE Higher",Spring,Revision and Communication,Show That,"""Show that"" with algebra",454,Algebraic proofs involving integers
"Year 11, GCSE Foundation, GCSE Higher",Spring,Revision and Communication,Show That,"""Show that"" with shape",453,Testing conjectures and identifying counterexamples
"Year 11, GCSE Foundation, GCSE Higher",Spring,Revision and Communication,Show That,"""Show that"" with angles",453,Testing conjectures and identifying counterexamples
"Year 11, GCSE Foundation, GCSE Higher",Spring,Revision and Communication,Show That,"""Show that"" with data",453,Testing conjectures and identifying counterexamples
"Year 11, GCSE Higher",Spring,Revision and Communication,Show That,"""Show that"" with vectors",474,Parallel vectors and straight line proofs using vectors
"Year 11, GCSE Foundation, GCSE Higher",Spring,Revision and Communication,Show That,"""Show that"" with congruent triangles",290,Properties of congruent shapes
"Year 11, GCSE Higher",Spring,Revision and Communication,Show That,Formal proof with congruent triangles,471,"Proving triangle congruence using SSS, SAS, ASA and RHS"
